name,nomineeCode,category name
Tutu Methodist Technical,PNCW,EASTERN REGION / VOLTA REGION
Mampong SHS for Deaf,KLU9,EASTERN REGION / VOLTA REGION
Okuapeman SHS,BRKD,EASTERN REGION / VOLTA REGION
H’mount Sinai SHS,79VD,EASTERN REGION / VOLTA REGION
Benkum SHS,143Z,EASTERN REGION / VOLTA REGION
Larteh Presbyterian SHTS,7KI5,EASTERN REGION / VOLTA REGION
Manya Krobo SHS,TCW5,EASTERN REGION / VOLTA REGION
Akro SHTS,J2AQ,EASTERN REGION / VOLTA REGION
Akwamuman SHS,WPHL,EASTERN REGION / VOLTA REGION
Yilo Krobo SHS,DO3D,EASTERN REGION / VOLTA REGION
Apeguso SHS,DWKW,EASTERN REGION / VOLTA REGION
Dorfor SHS,31Y4,EASTERN REGION / VOLTA REGION
Awudome SHS,6WUA,EASTERN REGION / VOLTA REGION
Anum Technical Institute,B19P,EASTERN REGION / VOLTA REGION
Anum Presec,ETTQ,EASTERN REGION / VOLTA REGION
Boso SHS,15PE,EASTERN REGION / VOLTA REGION
Awutu Bawjiase SHS,1BVI,CENTRAL REGION
Senya SHS,REXN,CENTRAL REGION
Obrachire SHS,UEW1,CENTRAL REGION
Gomoa SHS,JII9,CENTRAL REGION
Mozano SHS,DT17,CENTRAL REGION
Apam SHS,946D,CENTRAL REGION
Swedru SHS,34DP,CENTRAL REGION
Swedru School of Business,JGCB,CENTRAL REGION
Swedru Technical Institute,7K28,CENTRAL REGION
Agona Swedru Technical Institute,KEYY,CENTRAL REGION
Kwanyako SHS,GY44,CENTRAL REGION
Odupong SHS,WVGB,CENTRAL REGION
Tema Manhean SHS,X96B,GREATER ACCRA
"Tema Mission
Technical Institute",PCSZ,GREATER ACCRA
Ashaiman SHS,SF9S,GREATER ACCRA
Ashiaman Technical Institute,M5ZP,GREATER ACCRA
Accra SHS,NXPT,GREATER ACCRA
Kinbu SHTS,I349,GREATER ACCRA
Kanda Technical Institute,P55B,GREATER ACCRA
Labone SHS,9G08,GREATER ACCRA
"Presby SHS, Osu",KYHR,GREATER ACCRA
Accra Wesley Girls High,2T05,GREATER ACCRA
La Presby SHS,0IWW,GREATER ACCRA
Nungua SHS,4UOQ,GREATER ACCRA
O’Reilly SHS,M0FG,GREATER ACCRA
Tema SHS,668F,GREATER ACCRA
Tema Technical Institute,84U4,GREATER ACCRA
"Presby SHS, Tema",5WD3,GREATER ACCRA
Ebenezer SHS,6EPJ,GREATER ACCRA
Armed Forces SHTS,F3XQ,GREATER ACCRA
Chemu SHTS,WLTN,GREATER ACCRA
Sacred Heart Technical Institute,MJBH,GREATER ACCRA
Nima Technical Institute,XFH4,GREATER ACCRA
Wesley Grammar School,MZWS,GREATER ACCRA
Odorgonno SHS,G9A4,GREATER ACCRA
Our Lady of Mercy SHS,YC66,GREATER ACCRA
Bortianor SHS,RPZE,GREATER ACCRA
Christian Methodist SHS,RJDR,GREATER ACCRA
Adjen Kotoku SHTS,CNCZ,GREATER ACCRA
Amasaman SHTS,GB0B,GREATER ACCRA
Kumasi Girls SHS,06XX,ASHANTI REGION
St. Louis Senior High School,AU5Q,ASHANTI REGION
Kumasi Wesley Girls SHS,M89E,ASHANTI REGION
KNUST Senior High School,BBA6,ASHANTI REGION
Prince of Peace Girls SHS,GZUJ,ASHANTI REGION
Mancell Girls High School,VXUY,ASHANTI REGION
Ejisuman SHS,BAHR,ASHANTI REGION
Ejisu SHTS,W2FR,ASHANTI REGION
Antoa SHS,YVPE,ASHANTI REGION
